library,input,uniquely_mapped,multiple_loci,too_many_loci,percent_unmapped_too_many_mismatches,percent_unmapped_too_short
IL7051-721-516,1434395,1173931,218976,3370,0.72%,1.86%
IL7051-722-516,1417646,1183656,193631,4239,0.68%,1.79%
IL7051-723-516,627999,509011,104598,1408,0.67%,1.32%
IL7051-724-516,1858055,1514072,287638,5659,0.66%,1.98%
IL7051-726-516,1530426,1261248,225081,5288,0.74%,1.71%
IL7051-727-516,1292834,1008107,238897,6359,0.74%,2.23%
IL7051-728-516,286798,242471,22574,351,0.59%,6.84%
IL7051-729-516,41,12,9,2,7.32%,36.59%
IL7051-701-506,1062370,884272,139751,2734,0.76%,2.52%
IL7051-702-506,970056,800229,148206,2351,0.74%,1.19%
IL7051-703-506,1216318,1028185,145100,5799,0.70%,2.15%
IL7051-704-506,1212887,952976,205883,9225,0.78%,2.87%
IL7051-705-506,832989,676701,135931,1210,0.74%,1.52%
IL7051-706-506,1082299,865937,163383,5493,0.83%,3.40%
IL7051-707-506,1608327,1328865,243553,2899,0.67%,1.35%
IL7051-710-506,1102559,887101,188600,967,0.73%,1.56%
IL7051-711-506,1347823,1133727,171605,2933,0.73%,2.10%
IL7051-712-506,1110867,893037,188100,1675,0.75%,1.71%
IL7051-714-506,1210601,1029442,157086,2560,0.72%,1.00%
IL7051-715-506,1366309,1079844,232166,5591,0.74%,2.75%
IL7051-716-506,1310332,1059208,218519,632,0.68%,1.73%
IL7051-718-506,1189189,849121,269799,661,0.75%,5.10%
IL7051-719-506,555825,446470,92039,1443,0.71%,2.02%
IL7051-720-506,1214945,1003161,186835,1762,0.70%,1.16%
IL7051-721-506,1239489,1002481,202370,1627,0.74%,1.91%
IL7051-722-506,1468463,1213477,216700,3527,0.71%,1.57%
IL7051-723-506,1361284,1132432,186291,3228,0.70%,2.16%
IL7051-724-506,1511195,1259911,208785,2465,0.68%,1.92%
IL7051-726-506,1400665,1152164,211578,2507,0.72%,1.66%
IL7051-727-506,1431247,1183520,188610,8452,0.80%,2.57%
IL7051-728-506,1628843,1302893,277165,2662,0.66%,2.14%
IL7051-729-506,1567531,1245552,260217,3871,0.73%,2.92%
IL7051-701-517,1171813,1030103,117950,3625,0.64%,0.97%
IL7051-702-517,715058,600738,99006,1051,0.75%,1.19%
IL7051-703-517,1180445,973580,181254,1175,0.72%,1.34%
IL7051-704-517,1096126,891599,170347,3954,0.77%,1.92%
IL7051-705-517,890652,740084,120503,6019,0.77%,1.84%
IL7051-706-517,1325377,1104483,186085,2163,0.77%,1.66%
IL7051-707-517,840,595,80,1,1.19%,18.33%
IL7051-710-517,818933,705387,93730,1765,0.75%,1.41%
IL7051-711-517,834002,685692,124456,4016,0.82%,1.50%
IL7051-712-517,946521,751201,167673,2507,0.80%,1.83%
IL7051-714-517,1058084,858675,156804,5828,0.80%,2.53%
IL7051-715-517,1241200,1033899,162956,6395,0.77%,2.19%
IL7051-716-517,1395722,1132990,230408,1893,0.71%,1.41%
IL7051-718-517,1424749,1183248,204777,2256,0.74%,1.61%
IL7051-719-517,1422238,1103820,265665,7123,0.78%,2.33%
IL7051-720-517,1468870,1197201,239369,2560,0.72%,1.28%
IL7051-721-517,1098997,861034,208946,2279,0.75%,1.63%
IL7051-722-517,1210136,926887,220457,14397,0.80%,3.16%
IL7051-723-517,1164764,952667,168248,4710,0.78%,2.48%
IL7051-724-517,1226035,952318,222552,5989,0.81%,2.80%
IL7051-726-517,1267999,1051306,178553,4271,0.77%,1.84%
IL7051-727-517,1171903,935742,198432,3030,0.76%,2.15%
IL7051-728-517,1191164,902481,185172,2892,0.73%,7.66%
IL7051-729-517,1501806,1225431,214717,5879,0.77%,2.82%
IL7051-701-507,7834,6589,846,10,0.74%,4.17%
IL7051-702-507,109273,94599,11916,371,0.64%,1.45%
IL7051-703-507,233965,197148,30125,562,0.64%,1.93%
IL7051-704-507,2627,2205,280,11,0.99%,3.96%
IL7051-705-507,827257,689682,104100,4390,0.83%,2.59%
IL7051-706-507,967663,796300,134553,4918,0.80%,2.41%
IL7051-707-507,1281801,1090269,164193,2540,0.70%,1.17%
IL7051-710-507,1575327,1350111,184103,2837,0.66%,1.71%
IL7051-711-507,1040485,879976,136886,2026,0.72%,1.29%
IL7051-712-507,1323056,1134606,152107,4146,0.71%,1.63%
IL7051-714-507,1186048,999893,147676,6266,0.74%,1.90%
IL7051-715-507,62,7,5,0,4.84%,75.81%
IL7051-716-507,1185133,931911,205498,2388,0.71%,3.11%
IL7051-718-507,1427220,1203860,191500,2247,0.69%,1.34%
IL7051-719-507,1222362,1023533,158422,5310,0.80%,1.99%
IL7051-720-507,1391521,1149331,194992,7466,0.77%,2.01%
IL7051-721-507,1026425,852878,139352,3476,0.78%,2.13%
IL7051-722-507,1227086,999620,196366,882,0.72%,1.73%
IL7051-723-507,1426112,1189239,207270,2335,0.70%,1.18%
IL7051-724-507,1303227,1130950,142158,3929,0.63%,1.26%
IL7051-726-507,813795,677770,112824,2426,0.76%,1.73%
IL7051-727-507,1158994,934791,185556,1525,0.75%,2.35%
IL7051-728-507,1241256,1043275,168653,4250,0.73%,1.21%
IL7051-729-507,1171566,1026953,117840,1834,0.64%,1.44%
IL7051-701-518,576128,481302,80511,1133,0.75%,1.49%
IL7051-702-518,620367,492308,102604,4520,0.80%,2.50%
IL7051-703-518,994429,838129,130909,2879,0.76%,1.46%
IL7051-704-518,874575,668819,167022,6486,0.75%,2.87%
IL7051-705-518,1112333,960454,128509,3047,0.71%,1.05%
IL7051-706-518,877555,756291,105776,1082,0.73%,0.88%
IL7051-707-518,949046,797264,134314,925,0.72%,0.97%
IL7051-710-518,1293681,1093409,174425,1674,0.69%,1.14%
IL7051-711-518,692701,577037,102319,1378,0.72%,0.97%
IL7051-712-518,788085,677558,93511,1473,0.71%,1.23%
IL7051-714-518,1102506,930510,148579,1085,0.71%,1.27%
IL7051-715-518,667,504,84,2,1.35%,10.19%
IL7051-716-518,1433590,1141559,244236,7560,0.80%,1.95%
IL7051-718-518,1299110,1084609,182398,4394,0.72%,1.36%
IL7051-719-518,1434905,1188608,214889,3936,0.74%,1.13%
IL7051-720-518,1360835,1130421,188204,5494,0.77%,1.85%
IL7051-721-518,1053781,895431,136225,2448,0.72%,1.08%
IL7051-722-518,1301312,1069591,189163,9646,0.71%,1.75%
IL7051-723-518,1070395,834529,196575,10747,0.80%,1.78%
